source_file,schema,activity,started_at,platform,phase,x,y,time,dt,dx,dy,step_distance,speed
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.7572463768115942,0.5666666666666667,30.81480283330893,0.016606041666818783,0.0024154589371980784,-0.0033333333333332993,0.004116497660439145,0.24789156519247385
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.7584541062801933,0.5583333333333333,30.831546583329327,0.016743750020395964,0.0012077294685990392,-0.008333333333333304,0.008420395175629614,0.5028978075623757
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.7620772946859904,0.5383333333333333,30.848048291663872,0.016501708334544674,0.0036231884057971175,-0.020000000000000018,0.020325537981168013,1.2317232597438736
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.783816425120773,0.485,30.864827458310174,0.016779166646301746,0.021739130434782594,-0.053333333333333344,0.057593699625088646,3.4324529244593163
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.8128019323671497,0.4166666666666667,30.881609833304537,0.016782374994363636,0.02898550724637672,-0.0683333333333333,0.07422670728770203,4.422896479945841
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.8357487922705314,0.37,30.898036291648168,0.016426458343630657,0.022946859903381744,-0.04666666666666669,0.05200323218034826,3.1658213287657633
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.8490338164251208,0.3383333333333333,30.91471541664214,0.016679124993970618,0.01328502415458932,-0.031666666666666676,0.034340495694817806,2.058890721619488
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.8586956521739131,0.315,30.931564833328594,0.016849416686454788,0.009661835748792313,-0.023333333333333317,0.025254613726625966,1.4988420190788028
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.8659420289855072,0.3,30.9480513749877,0.01648654165910557,0.007246376811594124,-0.015000000000000013,0.016658630702900207,1.0104381529706439
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.8707729468599034,0.2833333333333333,30.964772708306555,0.016721333318855613,0.004830917874396157,-0.016666666666666663,0.01735268121319982,1.0377570306329744
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.8731884057971014,0.27166666666666667,30.981477791647194,0.01670508334063925,0.0024154589371980784,-0.011666666666666659,0.011914090522922888,0.7132015016015463
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.8743961352657005,0.2633333333333333,30.998139583331067,0.01666179168387316,0.0012077294685990392,-0.00833333333333336,0.008420395175629668,0.5053715311889124
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.8743961352657005,0.255,31.01470791664906,0.016568333317991346,0.0,-0.008333333333333304,0.008333333333333304,0.5029675087647012
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.8719806763285024,0.245,31.03137891663937,0.01667099999031052,-0.0024154589371980784,-0.010000000000000009,0.010287586785893485,0.6170947628740215
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,ended,0.8671497584541062,0.23833333333333334,31.039672916638665,0.00829399999929592,-0.004830917874396157,-0.006666666666666654,0.008232995320878334,0.9926447216755769
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,began,0.09178743961352658,0.3883333333333333,31.581588291650405,0.5419153750117403,-0.7753623188405797,0.14999999999999997,0.7897383905305863,1.4573094378683702
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.10265700483091787,0.405,31.673030458332505,0.09144216668209992,0.010869565217391297,0.01666666666666672,0.019897869880791317,0.2176005950292775
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.10386473429951691,0.41333333333333333,31.681475124991266,0.00844466665876098,0.0012077294685990392,0.008333333333333304,0.008420395175629614,0.9971258210522513
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.10869565217391304,0.43333333333333335,31.698021541640628,0.016546416649362072,0.004830917874396129,0.020000000000000018,0.020575173571786964,1.24348213923286
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.11352657004830918,0.455,31.71460949999164,0.016587958351010457,0.004830917874396143,0.021666666666666667,0.02219869842926843,1.338241751005855
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.12077294685990338,0.47333333333333333,31.731412166642258,0.016802666650619358,0.0072463768115941934,0.018333333333333313,0.01971347478266377,1.173234891375835
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.1316425120772947,0.49666666666666665,31.748060874990188,0.01664870834792964,0.010869565217391311,0.023333333333333317,0.025740860367508438,1.5461175623699033
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.14251207729468598,0.525,31.764565624995157,0.016504750004969537,0.010869565217391297,0.028333333333333377,0.030346749839033883,1.8386676459744349
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.15338164251207728,0.55,31.781532958324533,0.016967333329375833,0.010869565217391297,0.025000000000000022,0.02726073087822709,1.6066597118729389
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.16183574879227053,0.5716666666666667,31.798055708321044,0.016522749996511266,0.008454106280193247,0.021666666666666612,0.02325760859248528,1.4076112388915925
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.16666666666666666,0.59,31.81465383330942,0.016598124988377094,0.004830917874396129,0.018333333333333313,0.018959137074779284,1.1422457107688668
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.17028985507246377,0.595,31.8314196249994,0.01676579168997705,0.0036231884057971175,0.0050000000000000044,0.006174746490658763,0.3682943582288547
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.17149758454106281,0.5966666666666667,31.8394398749806,0.008020249981200323,0.0012077294685990392,0.0016666666666667052,0.0020582488302196174,0.25663150588126393
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.17270531400966183,0.5966666666666667,31.872903166658944,0.03346329167834483,0.0012077294685990114,0.0,0.0012077294685990114,0.0360911735823219
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.1751207729468599,0.5883333333333334,31.897999708307907,0.025096541648963466,0.0024154589371980784,-0.008333333333333304,0.008676340606599883,0.34571857461317707
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.17753623188405798,0.5766666666666667,31.91463104163995,0.01663133333204314,0.0024154589371980784,-0.011666666666666714,0.011914090522922943,0.7163641233723809
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.18357487922705315,0.56,31.931392458325718,0.016761416685767472,0.006038647342995168,-0.016666666666666607,0.017726901576723395,1.0576016281353915
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.1932367149758454,0.5333333333333333,31.948258833319414,0.01686637499369681,0.009661835748792258,-0.026666666666666727,0.02836304252275758,1.6816323918659006
