source_file,schema,activity,started_at,platform,yaw,pitch,roll,time
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.3180953556727837,0.06310441304113415,-0.026368584408449535,2.095271944999695
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.3188879189260405,0.04436523513944914,0.12975439548737955,2.194809913635254
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.3301501399763911,0.08323301960744665,0.06482913074905017,2.2938919067382812
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.3707600404249252,0.06962464857678755,-0.027890490849229687,2.3934519290924072
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.37037901435207005,0.04575631185643183,0.12208901294295957,2.492604970932007
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.37519305195728386,0.08064080874089821,0.07119518466227746,2.5921199321746826
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.4272214672452044,0.06750095476945102,-0.016114879387290174,2.6914010047912598
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.4119911360490894,0.038810940765168854,0.11200320311101306,2.7909529209136963
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.4068729865225635,0.07232265723060512,0.10372160792032094,2.8901429176330566
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.414475025875789,0.08970038951400497,-0.01334950190933552,2.989354968070984
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.34010238303972473,0.05639841476522642,0.06617374284911064,3.0886329412460327
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.3534239770567044,0.0696979190385408,0.10209370330215402,3.1879589557647705
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.38874610001818555,0.10694368770015804,-0.01965521645141453,3.287340998649597
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.39954589758660813,0.07462363251877505,-0.04499742428094762,3.386708974838257
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.50578136394752,0.10345163527408206,0.07669356611127891,3.486040949821472
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.5248169221187604,0.12340491809449623,0.01565328762291521,3.5852599143981934
